code,city,country,lat,lon,links
SYD,SYDNEY,AUSTRALIA,-33.8650,151.2094,[14]
TYO,TOKYO,JAPAN,35.68,139.76,[1,2]
TAI,TAIPEI,TAIWAN,25.0333,121.6333,[1,3,4]
HOK,HONG KONG,CHINA,22.27,114.17,[6,17]
SIN,SINGAPORE,MALAYSA,1.36,103.75,[17]
SEO,SEOUL,SOUTH KOREA,37.5667,126.9667,[5,7]
RIO,RIO DE JANEIRO,BRAZIL,-22.90,-43.24,[8]
LA,LOS ANGELES,USA,34.0500,-118.2500,[2,3,11]
HON,HONOLULU,USA,21.3000,-157.8167,[11,12]
SEA,SEATTLE,USA,47.61,-122.33,[5,6,7]
HIL,HILO,USA,19.7056,-155.0858,[13,14]
MIA,MIAMI,USA,25.7753,-80.2089,[8]
NYK,NEW YORK,USA,40.7127,-74.0059,[15,16]
CRN,CERN,EU,46.2342,6.0528,[10,15]
CHI,CHICAGO,USA,41.8369,-87.6847,[4,9,10]
ROT,ROTTERDAM,EU,51.9167,4.5000,[9,16]
