id,code,name,originLat,originLon,destLat,destLon,custom,midDestLat1,midDestLon1,midDestLat2,midDestLon2
1,TR3(TOK-TA),TRANSPAC3,35.68,139.76,25.0333,121.6333,yes,32.536595, 135.997939,26.105102, 125.275283
2,TR3(TOK-LA),TRANSPAC3,35.68,139.76,34.0500,-118.2500,yes,41.230942, 164.89905,38.164560, -139.920458
3,TWL(TA-LA),TAIWANLIGHT,25.0333,121.6333,34.0500,-118.2500,yes,30.589660, 140.392470,37.010420, -144.021594
4,ASG(TA-C),ASGCNET,25.0333,121.6333,41.8369,-87.6847,yes,41.332931, 139.377903,48.099337, 157.091688
5,KRE(SEO-SEA),KREONET,37.5667,126.9667,47.61,-122.33,yes,50.617383, 143.204970,50.950791, -155.974719
6,KRE(HK-SEO),KREONET,22.27,114.17,37.5667,126.9667,yes,26.849572, 119.594654,34.891878, 126.017894
7,CST(HK-SE),CSTNET,22.27,114.17,47.61,-122.33,yes,58.624906, 122.111220,55.868510, -155.095812
8,AML(MIA-RIO),AMLIGHT,25.7753,-80.2089,-22.90,-43.24,yes,4.514894, -25.425421,-18.102639, -27.467988
10,LHC(CHI-CERN),ASGCNET,41.8369,-87.6847,46.2342,6.0528,yes,34.925818, -66.652548,42.948234, 1.705815
